IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.172.110.95,4,4,0.00,165.24,0.00
103.172.110.95,4,4,0.00,165.42,0.00
103.172.110.95,4,4,0.00,165.64,0.00
103.172.110.97,4,4,0.00,165.64,0.00
103.172.110.95,4,4,0.00,165.80,0.00
146.235.16.112,4,4,0.00,165.80,0.00
203.29.54.67,4,4,0.00,165.96,0.00
203.29.54.52,4,4,0.00,166.04,0.00
103.172.110.99,4,4,0.00,166.14,0.00
103.172.110.95,4,4,0.00,166.23,0.00
168.138.182.215,4,4,0.00,166.27,0.00
103.172.110.95,4,4,0.00,166.31,0.00
103.172.110.98,4,4,0.00,166.32,0.00
103.172.110.96,4,4,0.00,166.35,0.00
203.29.54.52,4,4,0.00,166.43,0.00
103.172.110.95,4,4,0.00,166.57,0.00
103.172.110.95,4,4,0.00,166.58,0.00
103.172.110.95,4,4,0.00,166.62,0.00
103.172.110.95,4,4,0.00,166.70,0.00
203.29.55.228,4,4,0.00,166.78,0.00
103.172.110.95,4,4,0.00,166.84,0.00
203.29.54.52,4,4,0.00,166.92,0.00
203.29.54.52,4,4,0.00,166.92,0.00
185.223.207.64,4,4,0.00,166.94,0.00
35.197.155.78,4,4,0.00,166.97,0.00
103.172.110.97,4,4,0.00,167.03,0.00
159.223.61.89,4,4,0.00,167.10,0.00
103.172.110.95,4,4,0.00,167.18,0.00
103.172.110.95,4,4,0.00,167.19,0.00
103.172.111.50,4,4,0.00,167.28,0.00
167.71.207.133,4,4,0.00,167.34,0.00
103.172.111.50,4,4,0.00,167.36,0.00
103.172.110.95,4,4,0.00,167.43,0.00
103.172.110.111,4,4,0.00,167.53,0.00
103.172.110.99,4,4,0.00,167.75,0.00
104.248.147.234,4,4,0.00,167.77,0.00
103.172.110.95,4,4,0.00,167.81,0.00
203.29.54.52,4,4,0.00,167.82,0.00
103.172.110.95,4,4,0.00,167.83,0.00
35.187.253.46,4,4,0.00,167.89,0.00
128.199.74.194,4,4,0.00,167.91,0.00
203.29.54.52,4,4,0.00,167.98,0.00
103.172.111.160,4,4,0.00,168.11,0.00
103.172.110.111,4,4,0.00,168.16,0.00
103.172.110.95,4,4,0.00,168.48,0.00
103.172.111.118,4,4,0.00,168.81,0.00
203.29.54.52,4,4,0.00,168.85,0.00
103.172.111.50,4,4,0.00,168.97,0.00
103.172.110.97,4,4,0.00,169.13,0.00
103.172.111.50,4,4,0.00,169.20,0.00
103.172.110.111,4,4,0.00,169.32,0.00
103.172.111.50,4,4,0.00,169.37,0.00
103.172.110.111,4,4,0.00,169.38,0.00
103.172.110.95,4,4,0.00,169.50,0.00
103.172.111.196,4,4,0.00,169.69,0.00
103.172.111.50,4,4,0.00,169.78,0.00
103.172.110.97,4,4,0.00,169.79,0.00
103.172.110.97,4,4,0.00,169.83,0.00
103.172.111.245,4,4,0.00,169.97,0.00
168.138.182.212,4,4,0.00,170.43,0.00
103.172.111.170,4,4,0.00,170.59,0.00
103.172.110.111,4,4,0.00,170.59,0.00
103.172.111.199,4,4,0.00,170.63,0.00
103.172.110.95,4,4,0.00,170.94,0.00
103.172.110.95,4,4,0.00,170.94,0.00
146.190.80.57,4,4,0.00,171.00,0.00
129.150.62.92,4,4,0.00,171.02,0.00
203.29.54.52,4,4,0.00,171.02,0.00
35.198.228.177,4,4,0.00,171.11,0.00
103.172.110.95,4,4,0.00,171.23,0.00
178.128.111.151,4,4,0.00,171.26,0.00
103.172.110.95,4,4,0.00,171.36,0.00
103.172.110.99,4,4,0.00,171.41,0.00
152.69.219.30,4,4,0.00,171.43,0.00
103.172.110.95,4,4,0.00,171.45,0.00
128.199.222.137,4,4,0.00,171.50,0.00
103.172.111.50,4,4,0.00,171.60,0.00
103.172.111.50,4,4,0.00,171.62,0.00
103.172.110.202,4,4,0.00,171.72,0.00
103.172.111.50,4,4,0.00,172.09,0.00
188.166.236.163,4,4,0.00,172.25,0.00
103.172.110.111,4,4,0.00,172.27,0.00
203.29.54.200,4,4,0.00,172.49,0.00
203.29.54.52,4,4,0.00,172.59,0.00
103.172.110.95,4,4,0.00,172.60,0.00
103.172.110.95,4,4,0.00,172.85,0.00
103.172.111.50,4,4,0.00,172.87,0.00
103.172.110.111,4,4,0.00,172.98,0.00
203.29.54.52,4,4,0.00,173.11,0.00
103.172.111.50,4,4,0.00,173.27,0.00
103.172.110.111,4,4,0.00,173.33,0.00
103.172.110.97,4,4,0.00,173.45,0.00
159.65.12.84,4,4,0.00,173.49,0.00
203.29.54.95,4,4,0.00,173.50,0.00
203.29.54.67,4,4,0.00,173.56,0.00
103.172.110.95,4,4,0.00,173.67,0.00
103.172.110.95,4,4,0.00,173.83,0.00
203.29.54.200,4,4,0.00,173.90,0.00
103.172.111.50,4,4,0.00,173.99,0.00
103.172.110.95,4,4,0.00,173.99,0.00
138.2.107.0,4,4,0.00,174.09,0.00
